Date,RTGS_Total_Value_$m,FSS_Volume_000,FSS_Value_$m,DirectEntry_Volume_000,DirectEntry_Value_$m,NPP_Volume_000,NPP_Value_$m,DebitCard_Volume_million,DebitCard_Value_$m,CreditCard_Volume_000,CreditCard_Value_$m,Cheque_Volume_000,Cheque_Value_$m
2023-01,193148,2307080,2616,284448.3,1319923.9,106196.4,120455.6,916.4,47286.7,291180.0,33209.1,1991.1,22632.4
2023-02,206861,2538852,3045,287530.6,1344918.3,108293.0,123930.7,907.7,46661.6,297384.5,33563.2,1938.7,22521.7
2023-03,217092,2653254,3260,288587.0,1349407.3,110963.7,128462.8,920.7,46827.7,296813.7,33303.5,1924.3,22019.1
2023-04,220700,2555361,2973,291741.5,1353968.9,112703.5,130637.8,910.8,46938.2,300583.4,34190.8,1976.3,21138.6
2023-05,200821,2679295,3280,287306.6,1356893.8,114268.5,132491.8,925.2,47910.9,296875.8,33752.0,1913.8,20797.2
2023-06,231856,2745091,3568,288426.8,1361945.8,116805.2,132137.6,926.2,47995.3,299498.1,34017.0,1871.7,20771.9
2023-07,206976,2764879,3314,290372.1,1351825.4,118992.7,136405.9,938.5,47875.2,309392.4,34791.0,1821.2,20353.2
2023-08,198029,2883370,3487,287877.2,1361499.2,119475.5,137355.0,938.3,48234.1,302514.7,34287.5,1719.2,19862.2
2023-09,218792,2883941,3485,288511.5,1375388.6,121793.2,142034.3,928.5,47959.4,308014.0,34988.3,1665.8,19666.5
2023-10,210916,2902465,3551,293384.9,1369462.9,121361.8,139734.1,956.0,48986.7,305181.2,34593.6,1644.6,19391.3
2023-11,217821,3021234,3788,290490.9,1383627.9,121662.4,141748.9,945.1,48989.8,304267.9,34797.1,1631.9,18789.8
2023-12,226191,2908387,3697,293123.9,1407819.5,125023.1,146713.4,932.7,47764.3,306643.6,34786.1,1509.8,17193.7
2024-01,222136,2809627,3291,291838.8,1389862.7,127315.7,146160.3,966.5,50547.0,307737.5,35431.3,1463.2,17980.2
2024-02,220160,3087306,3870,292096.9,1403762.8,129913.7,156694.9,962.9,49891.7,308308.5,35413.3,1426.2,17840.1
2024-03,245519,3082496,3845,288258.4,1416740.3,131036.7,158180.8,949.8,49585.8,310433.5,35614.0,1367.8,17001.9
2024-04,242496,3130063,3944,292825.5,1425747.6,133596.6,164422.8,997.2,52408.9,308765.6,35561.7,1341.7,16954.6
2024-05,222843,3262686,4200,293513.1,1475111.2,136425.9,165414.2,968.5,50451.1,310187.2,35657.3,1272.6,16993.6
2024-06,268272,3224215,4429,299668.1,1480471.9,138152.0,169490.0,961.9,50487.3,310893.1,36245.2,1231.9,16520.6
2024-07,255457,3310732,4470,292402.1,1452534.5,137629.6,170292.0,988.3,51629.5,311153.3,35899.0,1179.0,15983.4
2024-08,250034,3393998,4378,296790.4,1474726.9,141395.8,174171.9,978.3,51471.8,314434.9,36439.9,1175.5,16142.7
2024-09,266372,3386538,4409,296629.7,1448258.3,140610.6,174198.1,1003.0,52336.5,315220.5,36461.5,1154.8,15515.4
2024-10,235516,3513387,4584,290899.3,1474679.0,143196.7,171872.9,988.0,51532.5,313419.9,36440.1,1168.8,14765.4
2024-11,249631,3634577,4786,297816.1,1490533.1,145857.2,181308.0,992.6,51747.1,316170.3,36816.0,1122.8,14446.5
2024-12,269871,3552726,4898,296101.5,1480031.8,146887.2,183967.6,1012.1,52763.3,318193.4,37002.6,1078.1,14031.3
2025-01,240976,3400809,4358,292677.8,1490930.2,149108.3,189223.6,996.9,53001.3,315845.0,37368.1,1035.0,14541.1
2025-02,256708,3631343,4792,295687.9,1494721.8,149819.5,189147.4,1010.8,53341.3,318331.6,37574.2,972.3,13988.4
2025-03,264479,3636838,4802,299672.0,1498070.8,151100.5,193447.4,1017.6,53930.1,321082.3,38050.9,941.0,13754.1
2025-04,288905,3690763,4897,299060.4,1553279.1,152106.5,196367.9,1025.1,54222.8,320904.5,38159.9,926.1,13277.1
2025-05,244720,3778231,5025,300418.7,1519213.1,152636.8,197532.6,1013.7,53509.5,324462.0,38660.0,895.4,12812.5
2025-06,263094,3788779,5544,296908.3,1523663.9,152479.9,199109.3,1045.9,55914.9,325355.5,38747.0,874.3,13402.7
2025-07,266863,3895065,5539,293492.2,1543467.6,154548.0,206632.7,1023.2,54370.7,325073.6,38805.2,859.6,13712.1
2025-08,262976,3838440,5297,302329.2,1574759.9,154829.7,210723.3,1025.0,54812.1,327131.6,39557.1,836.3,13257.1
2025-09,267088,3924569,5645,299072.9,1559849.6,156083.2,214548.8,1039.8,56549.4,325831.2,39497.5,874.5,13463.0
2025-10,267941,4043452,5960,297286.0,1599582.7,157333.1,218388.8,1039.0,56607.3,328453.8,39655.6,829.8,13224.1
2025-11,280605,4066409,5853,299167.8,1611234.3,157347.9,222082.1,1043.9,57237.3,332156.5,40462.5,781.0,13119.0
